time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
8.409798,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.00646, 0.01538, 0.33039),(-0.05726, 0.00301, 0.35995),(-0.04362, 0.08562, 0.39508),(-0.01904, 0.07796, 0.42017),(0.01208, 0.06170, 0.42559),(0.02463, 0.02234, 0.41836),
8.444004,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(-0.01134, -0.00109, 0.32663),(-0.07666, -0.02562, 0.34699),(-0.08317, 0.04367, 0.39545),(-0.05790, 0.04410, 0.41944),(-0.02537, 0.03116, 0.42668),(-0.00641, -0.00563, 0.41474),
8.461286,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(-0.01227, -0.01161, 0.32152),(-0.07728, -0.04019, 0.34131),(-0.08994, 0.00791, 0.39225),(-0.06682, 0.00958, 0.41620),(-0.03691, -0.00256, 0.42188),(-0.01080, -0.02806, 0.40462),
8.478538,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(-0.01227, -0.01161, 0.32152),(-0.07728, -0.04019, 0.34131),(-0.08994, 0.00791, 0.39225),(-0.06682, 0.00958, 0.41620),(-0.03691, -0.00256, 0.42188),(-0.01080, -0.02806, 0.40462),
8.512175,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(-0.00154, -0.03498, 0.31783),(-0.05974, -0.06839, 0.33044),(-0.06279, -0.08091, 0.38509),(-0.03713, -0.10631, 0.37489),(-0.01199, -0.10186, 0.37081),(0.00949, -0.08473, 0.37480),
8.529981,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.00196, -0.04135, 0.31688),(-0.05607, -0.07406, 0.32968),(-0.05729, -0.09205, 0.38357),(-0.03092, -0.11835, 0.37003),(-0.00661, -0.11264, 0.36531),(0.01375, -0.09302, 0.37185),
8.562421,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.02016, -0.04243, 0.31204),(-0.03795, -0.06968, 0.33322),(-0.02306, -0.10668, 0.36760),(-0.00358, -0.11605, 0.35791),(0.01712, -0.11468, 0.34756),(0.03482, -0.09756, 0.34789),
8.596741,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.03669, -0.04025, 0.31916),(-0.01571, -0.07632, 0.34717),(0.00506, -0.10215, 0.36721),(0.01661, -0.10680, 0.37433),(0.03849, -0.10664, 0.36487),(0.05664, -0.09228, 0.35911),
8.629332,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.04602, -0.04439, 0.31944),(0.00021, -0.08074, 0.35585),(0.01032, -0.09288, 0.39329),(0.02846, -0.11106, 0.37596),(0.04916, -0.11107, 0.36571),(0.06615, -0.09990, 0.35552),
8.663169,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05324, -0.04267, 0.31798),(0.01631, -0.08290, 0.35848),(0.01923, -0.08836, 0.39537),(0.03522, -0.10585, 0.38245),(0.05611, -0.10876, 0.36733),(0.07171, -0.10006, 0.35042),
8.696905,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05402, -0.03961, 0.31454),(0.02100, -0.08463, 0.35257),(0.01531, -0.08433, 0.39134),(0.03318, -0.10011, 0.38408),(0.05594, -0.10464, 0.36932),(0.07202, -0.09750, 0.34983),
8.732118,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05452, -0.03770, 0.31280),(0.02566, -0.08515, 0.35299),(0.01746, -0.07970, 0.39194),(0.03535, -0.09317, 0.38887),(0.05907, -0.09838, 0.37296),(0.07557, -0.09273, 0.35184),
8.761064,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05372, -0.03631, 0.31315),(0.02165, -0.08490, 0.35202),(0.01401, -0.07483, 0.39278),(0.03242, -0.08612, 0.39411),(0.05736, -0.09414, 0.37512),(0.07509, -0.08922, 0.35548),
8.794161,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05362, -0.03472, 0.31228),(0.02115, -0.08398, 0.35045),(0.01198, -0.07256, 0.39155),(0.03137, -0.08094, 0.39735),(0.05712, -0.09133, 0.37632),(0.07566, -0.08662, 0.35721),
8.81133,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05359, -0.03391, 0.31185),(0.02103, -0.08331, 0.34988),(0.01157, -0.07158, 0.39106),(0.03116, -0.07938, 0.39775),(0.05707, -0.09024, 0.37630),(0.07578, -0.08558, 0.35730),
8.84477,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05450, -0.03478, 0.31328),(0.01990, -0.08492, 0.35064),(0.01294, -0.07348, 0.39102),(0.03226, -0.07908, 0.40009),(0.05804, -0.09098, 0.37618),(0.07675, -0.08525, 0.35847),
8.877728,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05459, -0.03574, 0.31398),(0.01880, -0.08531, 0.35146),(0.01292, -0.07342, 0.39210),(0.03257, -0.07847, 0.40237),(0.05823, -0.09144, 0.37760),(0.07700, -0.08556, 0.36013),
8.911251,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05507, -0.03702, 0.31475),(0.01727, -0.08582, 0.35177),(0.01285, -0.07365, 0.39300),(0.03256, -0.07949, 0.40313),(0.05762, -0.09333, 0.37744),(0.07643, -0.08741, 0.36048),
8.944517,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05583, -0.03858, 0.31425),(0.01742, -0.08593, 0.35164),(0.01308, -0.07361, 0.39372),(0.03319, -0.08191, 0.40177),(0.05756, -0.09522, 0.37644),(0.07650, -0.08895, 0.36027),
8.978103,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05761, -0.04091, 0.31368),(0.01829, -0.08667, 0.35114),(0.01454, -0.07455, 0.39422),(0.03457, -0.08504, 0.40028),(0.05787, -0.09842, 0.37436),(0.07675, -0.09220, 0.35877),
9.011351,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.05993, -0.04079, 0.31182),(0.01908, -0.08395, 0.35017),(0.01567, -0.07180, 0.39283),(0.03537, -0.08432, 0.39765),(0.05840, -0.09733, 0.37434),(0.07664, -0.09189, 0.35742),
9.044508,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.06341, -0.03935, 0.30907),(0.02154, -0.07975, 0.34866),(0.01795, -0.06638, 0.39155),(0.03650, -0.08280, 0.39237),(0.05924, -0.09481, 0.37255),(0.07677, -0.09016, 0.35470),
9.077666,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.06856, -0.03677, 0.30660),(0.02701, -0.07651, 0.34697),(0.02323, -0.06326, 0.38899),(0.04131, -0.08009, 0.38824),(0.06404, -0.09153, 0.37028),(0.08085, -0.08730, 0.35096),
9.111176,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07530, -0.03232, 0.30098),(0.03205, -0.06885, 0.34232),(0.02722, -0.05347, 0.38335),(0.04472, -0.07198, 0.38254),(0.06762, -0.08368, 0.36807),(0.08401, -0.08155, 0.34704),
9.145069,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.08516, -0.02821, 0.29535),(0.04179, -0.06342, 0.33677),(0.03726, -0.04873, 0.37712),(0.05433, -0.06837, 0.37498),(0.07597, -0.08015, 0.36039),(0.09190, -0.07820, 0.33912),
9.177824,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.09524, -0.02515, 0.28303),(0.05071, -0.05546, 0.32616),(0.04713, -0.04390, 0.36124),(0.06227, -0.06259, 0.35913),(0.08293, -0.07317, 0.34785),(0.09908, -0.07251, 0.32775),
9.211299,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10882, -0.02766, 0.26477),(0.06155, -0.04484, 0.30690),(0.05953, -0.04105, 0.32766),(0.06557, -0.06289, 0.31755),(0.08252, -0.07269, 0.31022),(0.10141, -0.07037, 0.29951),
9.244175,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.12818, -0.03279, 0.23350),(0.08109, -0.04098, 0.27632),(0.07759, -0.05189, 0.27859),(0.08590, -0.06793, 0.26386),(0.10061, -0.07579, 0.26062),(0.11928, -0.07284, 0.25764),
9.277978,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.13679, -0.04158, 0.20504),(0.09223, -0.05139, 0.25003),(0.10201, -0.06752, 0.22244),(0.11247, -0.08144, 0.21662),(0.12697, -0.08462, 0.21367),(0.14209, -0.08217, 0.22030),
9.311114,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.13824, -0.05900, 0.16600),(0.09339, -0.06386, 0.20986),(0.09952, -0.08766, 0.17740),(0.11807, -0.09583, 0.17045),(0.13275, -0.09887, 0.16934),(0.14496, -0.09769, 0.17931),
9.344259,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.14229, -0.07347, 0.13043),(0.09746, -0.07806, 0.17426),(0.10355, -0.10237, 0.14113),(0.12255, -0.11020, 0.13421),(0.13724, -0.11317, 0.13322),(0.14925, -0.11206, 0.14350),
9.376715,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.410298,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.443133,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.445934,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.477687,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.511784,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5148,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.544739,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.578004,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.611404,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.646255,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.679746,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.712946,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.745937,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.778933,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.812272,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.845667,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.87945,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.91238,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.945546,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.979412,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01269,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.04573,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.07947,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.11209,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.14557,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.17948,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.21228,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.24676,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.27957,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
