time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
14.88706,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07300, 0.04377, 0.29920),(0.00531, 0.07707, 0.29559),(0.00284, 0.07814, 0.36369),(0.01399, 0.06726, 0.38680),(0.03127, 0.04319, 0.38979),(0.05058, 0.01892, 0.37655),
14.90362,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07235, 0.04522, 0.29926),(0.00468, 0.07862, 0.29560),(0.00220, 0.07964, 0.36375),(0.01336, 0.06877, 0.38689),(0.03061, 0.04466, 0.38987),(0.04988, 0.02037, 0.37662),
14.91716,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07235, 0.04522, 0.29926),(0.00468, 0.07862, 0.29560),(0.00220, 0.07964, 0.36375),(0.01336, 0.06877, 0.38689),(0.03061, 0.04466, 0.38987),(0.04988, 0.02037, 0.37662),
14.92945,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07446, 0.04477, 0.29684),(0.01580, 0.08548, 0.28938),(0.01169, 0.08330, 0.35796),(0.02211, 0.07218, 0.38031),(0.03407, 0.04739, 0.38216),(0.05018, 0.02301, 0.37036),
14.94634,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07479, 0.04538, 0.29615),(0.01709, 0.08683, 0.28845),(0.01277, 0.08428, 0.35696),(0.02290, 0.07306, 0.37910),(0.03433, 0.04826, 0.38085),(0.05016, 0.02392, 0.36926),
14.97134,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07531, 0.04426, 0.29444),(0.02024, 0.08868, 0.28641),(0.01493, 0.08309, 0.35547),(0.02390, 0.07082, 0.37676),(0.03414, 0.04608, 0.37789),(0.04953, 0.02201, 0.36649),
14.98601,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07561, 0.04413, 0.29362),(0.02064, 0.08866, 0.28558),(0.01530, 0.08297, 0.35464),(0.02423, 0.07067, 0.37590),(0.03442, 0.04594, 0.37701),(0.04978, 0.02187, 0.36562),
14.99651,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07561, 0.04413, 0.29362),(0.02064, 0.08866, 0.28558),(0.01530, 0.08297, 0.35464),(0.02423, 0.07067, 0.37590),(0.03442, 0.04594, 0.37701),(0.04978, 0.02187, 0.36562),
15.01177,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07567, 0.04301, 0.29475),(0.02344, 0.08932, 0.28700),(0.01716, 0.08183, 0.35486),(0.02371, 0.06875, 0.37436),(0.03278, 0.04444, 0.37510),(0.04790, 0.02100, 0.36449),
15.02827,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07548, 0.04200, 0.29490),(0.02454, 0.08890, 0.28762),(0.01769, 0.08109, 0.35473),(0.02297, 0.06783, 0.37335),(0.03186, 0.04380, 0.37428),(0.04699, 0.02044, 0.36420),
