time,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0.37969970703125,NaN, NaN,0.00000, 0.15000,-0.00141, -0.05544, 0.29083,0.04033, -0.07197, 0.32927,0.06085, 0.00474, 0.34782,0.04440, -0.00423, 0.37208,0.00488, -0.08937, 0.31427,-0.00963, -0.08405, 0.31686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.388921737670898,NaN, NaN,0.00000, 0.15000,-0.00141, -0.05544, 0.29083,0.04033, -0.07197, 0.32927,0.06085, 0.00474, 0.34782,0.04440, -0.00423, 0.37208,0.00488, -0.08937, 0.31427,-0.00963, -0.08405, 0.31686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.397665023803711,NaN, NaN,0.00000, 0.15000,-0.00541, -0.05330, 0.29016,0.03678, -0.06946, 0.32801,0.05506, 0.00488, 0.35066,0.03842, -0.00704, 0.37454,0.00226, -0.08811, 0.31482,-0.01283, -0.08261, 0.31671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.406816482543945,NaN, NaN,0.00000, 0.15000,-0.00541, -0.05330, 0.29016,0.03678, -0.06946, 0.32801,0.05506, 0.00488, 0.35066,0.03842, -0.00704, 0.37454,0.00226, -0.08811, 0.31482,-0.01283, -0.08261, 0.31671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.416259765625,NaN, NaN,0.00000, 0.15000,-0.00977, -0.04982, 0.28908,0.03280, -0.06510, 0.32676,0.04938, 0.00695, 0.35193,0.03020, -0.00387, 0.37537,-0.00056, -0.08428, 0.31882,-0.01634, -0.07842, 0.31902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4246826171875,NaN, NaN,0.00000, 0.15000,-0.00977, -0.04982, 0.28908,0.03280, -0.06510, 0.32676,0.04938, 0.00695, 0.35193,0.03020, -0.00387, 0.37537,-0.00056, -0.08428, 0.31882,-0.01634, -0.07842, 0.31902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.433303833007813,NaN, NaN,0.00000, 0.15000,-0.01445, -0.04510, 0.28800,0.02933, -0.05943, 0.32485,0.04276, 0.01032, 0.35362,0.02253, -0.00197, 0.37639,-0.00294, -0.07940, 0.32400,-0.01949, -0.07376, 0.32258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.442367553710938,NaN, NaN,0.00000, 0.15000,-0.01445, -0.04510, 0.28800,0.02933, -0.05943, 0.32485,0.04276, 0.01032, 0.35362,0.02253, -0.00197, 0.37639,-0.00294, -0.07940, 0.32400,-0.01949, -0.07376, 0.32258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.451107025146484,NaN, NaN,0.00000, 0.15000,-0.01445, -0.04510, 0.28800,0.02933, -0.05943, 0.32485,0.04276, 0.01032, 0.35362,0.02253, -0.00197, 0.37639,-0.00294, -0.07940, 0.32400,-0.01949, -0.07376, 0.32258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.460210800170898,NaN, NaN,0.00000, 0.15000,-0.02231, -0.03559, 0.28775,0.02526, -0.04564, 0.32305,0.03056, 0.01743, 0.35763,0.01296, -0.00223, 0.37891,-0.00862, -0.06571, 0.33752,-0.02637, -0.06177, 0.33385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
