time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
547.3874,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06682, 0.01519, 0.30878,0.03632, -0.01394, 0.34508,0.01557, 0.01664, 0.37899,0.07714, -0.01443, 0.31588,0.08758, -0.00607, 0.31498,0.09556, 0.00429, 0.31912
547.397,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06682, 0.01519, 0.30878,0.03632, -0.01394, 0.34508,0.01557, 0.01664, 0.37899,0.07714, -0.01443, 0.31588,0.08758, -0.00607, 0.31498,0.09556, 0.00429, 0.31912
547.4066,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06686, 0.01541, 0.30780,0.03578, -0.01345, 0.34363,0.01567, 0.01647, 0.37798,0.07690, -0.01441, 0.31450,0.08731, -0.00623, 0.31377,0.09542, 0.00399, 0.31804
547.4153,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06686, 0.01541, 0.30780,0.03578, -0.01345, 0.34363,0.01567, 0.01647, 0.37798,0.07690, -0.01441, 0.31450,0.08731, -0.00623, 0.31377,0.09542, 0.00399, 0.31804
547.4261,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06682, 0.01556, 0.30679,0.03498, -0.01312, 0.34197,0.01569, 0.01589, 0.37689,0.07631, -0.01454, 0.31291,0.08687, -0.00650, 0.31249,0.09515, 0.00353, 0.31691
547.4339,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06682, 0.01556, 0.30679,0.03498, -0.01312, 0.34197,0.01569, 0.01589, 0.37689,0.07631, -0.01454, 0.31291,0.08687, -0.00650, 0.31249,0.09515, 0.00353, 0.31691
547.4437,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06667, 0.01561, 0.30599,0.03398, -0.01300, 0.34060,0.01578, 0.01529, 0.37613,0.07548, -0.01474, 0.31163,0.08628, -0.00686, 0.31145,0.09476, 0.00297, 0.31595
547.4526,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06667, 0.01561, 0.30599,0.03398, -0.01300, 0.34060,0.01578, 0.01529, 0.37613,0.07548, -0.01474, 0.31163,0.08628, -0.00686, 0.31145,0.09476, 0.00297, 0.31595
547.4625,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06652, 0.01569, 0.30525,0.03256, -0.01282, 0.33906,0.01611, 0.01468, 0.37557,0.07437, -0.01501, 0.31046,0.08548, -0.00734, 0.31027,0.09419, 0.00215, 0.31484
547.4712,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06652, 0.01569, 0.30525,0.03256, -0.01282, 0.33906,0.01611, 0.01468, 0.37557,0.07437, -0.01501, 0.31046,0.08548, -0.00734, 0.31027,0.09419, 0.00215, 0.31484
